ES-CONCHI;EN-CONCHI;VA-CONCHI;ES - F;EN - F;VA - F;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F 
FEBRERO, un hombre hombre risueño del pueblo Castamere, es corpulento debido a sus años trabajando en la aldea, con una frondosa barba y siempre lleva puestas unas gafas que le regalaron por su cumpleaños.;;;;;;;;;Bueno, ya he acabado con el problema de las moscas, ahora a ver que se cuenta la gente del pueblo.;;;Anda, cuánto tiempo. A ver si vuelves a traer tú el trigo para la harina. Este nuevo proveedor me está dando problemas.;;;;;;¡Me lo estoy pasando en grande!;;;;;;Esas niñas son muy molestas, la próxima vez mancharé a esas dos con mucho barro en su cara.;;;;;;Hace días que no pesco nada y estoy preocupado. Espero que mañana tenga una buena pesca.;;;;;;Buenas. ¿Desea algo? ¿No? Pues vaya.;;;;;;A ver cuando nos puedes arreglar una de las luces de la calle, que no para de parpadear.;;;;;;Uy, buenas. No tengo mucho que hacer y siempre vengo aquí a tomar algo. Cuando quieras vente y me haces compañía.;;;;;;Shh, no hagas mucho ruido. Cualquier cosa podría provocar un desprendimiento.;;;;;;;;;Hoy fue un día productivo, no me esperaba hablar con tanta gente hoy, las luces de las calles faltan arreglarse que no paran de parpadear tal como dijo el alcalde. Espero que Conchi y las chicas se lo hayan pasado estupendo en su fiesta, y espero que el chico ese no cometa alguna travesura con su pelota.;;;;;;¡Rayos! Me he olvidado de dejar mis gafas en la mesa otra vez y encima ahora me duele la cabeza. Bueno, no pasa nada, con una aspirina se me pasa enseguida. ;;;Estoy preparando el pedido de Conchi y su nieta. A la niña le encanta el chocolate y a Conchi le gustan unas galletas.;;;¿Y qué hay de su otra nieta? ;;;Podría tirarle del pelo o tirarle la pelota a la cara jejeje.;;;O podrías dejarla en paz. Tanto a ella como a su hermana.;;;Después del parque vayamos a la panadería. Tengo hambre. ;;;;;;Hoy es mi día de suerte. He pescado un atún. Que pez tan común.;;;;;;Shh, no hagas mucho ruido. Cualquier cosa podría provocar un desprendimiento.;;;;;;Buenas. ¿Desea algo? ¿No? Pues vaya.;;;;;;A ver cuando nos puedes arreglar una de las luces de la calle, que no para de parpadear.;;;;;;Por supuesto. Cuando haga un hueco lo miro. No se preocupe.;;;;;;Buenas. Últimamente no tengo mucho trabajo. No sé qué hacer. Si te enteras de algo estaré aquí. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBRERO se levanta de la cama de su habitación y empieza a escuchar zumbidos.;;;Otra vez esas malditas moscas por aquí.;;;;;;;;;;;;;;;¡Siii, es súper divertido!  Aunque ese niño es muy molesto.;;;;;;;;;;;;;;;;;;;;;;;;Por supuesto. Cuando haga un hueco lo miro. No se preocupe.;;;;;;;;;;;;;;;;;;;;;¡Mañana va a ser un mejor día de seguro!;;;;;;Me estoy quedando sin aspirinas, pronto tendré que ir a por una caja más, pero ahora solo iré a ver qué tal están los demás.;;;¿Qué otra nieta?;;;La hermana gemela que va vestida de verde.;;;¿Hermana? ¿Pero qué está diciendo abuelo? ¿Ya tiene problemas de memoria? Jajajaja. ;;;;;;Por supuesto cariño. No te preocupes.;;;Perdone. ¿Y su otra nieta? ¿Está bien? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Mis nietas son buenísimas a la comba. Espero que no se hagan daño. Tengo una tarta solo para ellas esperando.;;;;;;;;;;;;;;;;;;;;;;;;FEBRERO ve al FONTANERO y habla con él.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pues creéme, pero si no me falla la memoria Conchi solo tiene una nieta.;;;;;;;;;;;;¿Otra nieta? Yo solo tengo una y me es suficiente. Anda no me preocupes más de lo que estoy.  ;;;Siento si la he preocupado más de la cuenta. Si quiere que la ayude en algo…;;;;;;;;;;;;;;;Por supuesto. Cuando haga un hueco lo miro. No se preocupe. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pues la verdad es que tu ayuda me vendría muy bien, mira, justamente una tubería me ha explotado en la cocina y la tengo toda inundada ¿Si ves al FONTANERO podrías decirle que se pase por mi casa para arreglarla? Muchas gracias de verdad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;1;;;;;;2;;;;;;3;;;;;;4;;;;;;5;;;;;;6;;;;;;7;;;;;;8;;;;;;9;;;;;;10;;;;;;11;;;;;;12;;;;;;13;;;;;;14;;;;;;15;;;;;;16;;;;;;17;;;;;;18;;;;;;19;;;;;;20;;;;;;21;;;;;;22;;;;;;23;;;;;;24;;;;;;25;;;;;;26;;;;;;27;;;;;;28;;;;;;29;;;;;;30;;;;;;31;;;;;;32;;;;;;33;;;;;;34;;;;;
